id,spot_name,longitude,latitude
6539589,서울특별시 강남구 수서동(수서역 인근),127.101689,37.48736195
6539590,서울특별시 강남구 논현동(신사역 인근),127.019562,37.51612591
6539591,서울특별시 강남구 논현동(구산빌딩 인근),127.0284592,37.51891884
6539592,서울특별시 강동구 성내동(길동사거리 인근),127.138575,37.53395526
6539593,서울특별시 강동구 천호동(천호대로올림픽로진출 인근),127.1239966,37.53853186
6539594,서울특별시 강동구 천호동(현대타워 인근),127.1336205,37.53550097
6539613,서울특별시 강북구 미아동(미아4동지구대 인근),127.0298728,37.61645297
6539614,서울특별시 강북구 수유동(주하이마트 인근),127.0232341,37.63528464
6539615,서울특별시 강북구 수유동(수유역 인근),127.0256118,37.63798265
6539574,서울특별시 강서구 화곡동(우장공원입구 인근),126.8507704,37.55311675
6539575,서울특별시 강서구 가양동(공항대로화곡로진출2 인근),126.8526777,37.55575413
6539576,서울특별시 강서구 가양동(화곡사거리 인근),126.8474229,37.53061277
6539586,서울특별시 관악구 남현동(SK허브그린 인근),126.9296154,37.48492641
6539587,서울특별시 관악구 봉천동(서울대입구역 인근),126.9527354,37.48126631
6539588,서울특별시 관악구 봉천동(관악보훈회관 인근),126.9584945,37.47834152
6539610,서울특별시 광진구 화양동(건대입구역 인근),127.0706325,37.53992053
6539611,서울특별시 광진구 군자동(능동시장입구 인근),127.0791118,37.55648575
6539612,서울특별시 광진구 자양동(자양사거리구의로진출 인근),127.0842552,37.53675275
6539577,서울특별시 구로구 신도림동(신성은하수아파트 인근),126.88648,37.50785177
6539578,서울특별시 구로구 구로동(녹산빌딩 인근),126.8917027,37.49753764
6539579,서울특별시 구로구 오류동(시티월드앞 인근),126.8401003,37.49441125
6539616,서울특별시 금천구 시흥동(시흥사거리 인근),126.9005343,37.45476668
6539617,서울특별시 금천구 가산동(모텔케슬 인근),126.8889445,37.47863378
6539618,서울특별시 금천구 독산동(독산사거리 인근),126.8981918,37.47144176
6539607,서울특별시 노원구 공릉동(태릉입구역 인근),127.0756738,37.61767435
6539608,서울특별시 노원구 상계동(녹천교동단 인근),127.056904,37.64551195
6539609,서울특별시 노원구 상계동(노원역일반국도3호선 인근),127.0604128,37.65477791
